timestamp, mac, rss, battery
2013-11-15 10:12:14.066000,4694202700110029,-40,1101,0
2013-11-15 10:12:15.038000,4694202700110029,-41,1201,0
2013-11-15 10:12:16.106000,4694202700110029,-40,1301,0
2013-11-15 10:12:17.142000,4694202700110029,-41,1401,0
2013-11-15 10:12:18.162000,4694202700110029,-40,1501,0
2013-11-15 10:12:19.166000,4694202700110029,-40,1601,0
2013-11-15 10:12:20.169000,4694202700110029,-40,1701,0
2013-11-15 10:12:21.205000,4694202700110029,-41,1801,0
2013-11-15 10:12:22.209000,4694202700110029,-41,1901,0
2013-11-15 10:12:23.261000,4694202700110029,-40,1A01,0
2013-11-15 10:12:24.330000,4694202700110029,-40,1B01,0
2013-11-15 10:12:25.351000,4694202700110029,-40,1C01,0
2013-11-15 10:12:26.354000,4694202700110029,-40,1D01,0
2013-11-15 10:12:27.358000,4694202700110029,-40,1E01,0
2013-11-15 10:12:28.349000,4694202700110029,-41,1F01,0
2013-11-15 10:12:29.335000,4694202700110029,-40,2001,0
2013-11-15 10:12:30.323000,4694202700110029,-40,2101,0
2013-11-15 10:12:31.390000,4694202700110029,-40,2201,0
2013-11-15 10:12:32.458000,4694202700110029,-40,2301,0
2013-11-15 10:12:33.510000,4694202700110029,-40,2401,0
2013-11-15 10:12:43.652000,4694202700110029,-41,2E01,0
2013-11-15 10:12:44.719000,4694202700110029,-40,2F01,0
2013-11-15 10:12:45.787000,4694202700110029,-40,3001,0
2013-11-15 10:12:46.855000,4694202700110029,-40,3101,0
2013-11-15 10:12:47.844000,4694202700110029,-40,3201,0
2013-11-15 10:12:48.847000,4694202700110029,-40,3301,0
2013-11-15 10:12:49.835000,4694202700110029,-40,3401,0
2013-11-15 10:12:50.886000,4694202700110029,-40,3501,0
2013-11-15 10:12:51.938000,4694202700110029,-40,3601,0
2013-11-15 10:12:52.926000,4694202700110029,-40,3701,0
2013-11-15 10:12:53.914000,4694202700110029,-40,3801,0
2013-11-15 10:12:54.918000,4694202700110029,-41,3901,0
2013-11-15 10:12:55.907000,4694202700110029,-41,3A01,0
2013-11-15 10:12:56.879000,4694202700110029,-42,3B01,0
2013-11-15 10:13:07.176000,4694202700110029,-43,4501,0
2013-11-15 10:13:08.196000,4694202700110029,-43,4601,0
2013-11-15 10:13:09.199000,4694202700110029,-43,4701,0
2013-11-15 10:13:10.251000,4694202700110029,-43,4801,0
2013-11-15 10:13:11.319000,4694202700110029,-43,4901,0
2013-11-15 10:13:12.355000,4694202700110029,-43,4A01,0
2013-11-15 10:13:13.423000,4694202700110029,-43,4B01,0
2013-11-15 10:13:14.474000,4694202700110029,-43,4C01,0
2013-11-15 10:13:15.478000,4694202700110029,-43,4D01,0
2013-11-15 10:13:16.466000,4694202700110029,-43,4E01,0
2013-11-15 10:13:17.504000,4694202700110029,-43,4F01,0
2013-11-15 10:13:18.571000,4694202700110029,-43,5001,0
2013-11-15 10:13:19.591000,4694202700110029,-43,5101,0
2013-11-15 10:13:20.643000,4694202700110029,-43,5201,0
